Drug,Hour,Organ,Conc_umol_L,Kp
Donepezil,13.508,muscle,20.93379184,20.3376
Donepezil,13.508,fat,29.74972112,171080.2988
Donepezil,13.508,brain,789.00466943,3081.7684
Donepezil,13.508,gut,409.03037956,413.6185
Donepezil,13.749,blood,0.9327029,1.0
Donepezil,13.749,lung,115.01546078,151.5305
Donepezil,13.749,liver,872.14685688,1129.0157
Donepezil,13.749,kidney,41.68614735,55.5137
Donepezil,13.749,muscle,20.82600536,20.3376
Donepezil,13.749,fat,29.94394457,171080.2988
Donepezil,13.749,brain,792.76114455,3081.7684
Donepezil,13.749,gut,403.31547307,413.6185
Donepezil,13.99,blood,0.92671751,1.0
Donepezil,13.99,lung,114.23185372,151.5305
Donepezil,13.99,liver,871.81639122,1129.0157
Donepezil,13.99,kidney,41.41272703,55.5137
Donepezil,13.99,muscle,20.71838873,20.3376
Donepezil,13.99,fat,30.13690713,171080.2988
Donepezil,13.99,brain,796.47127937,3081.7684
Donepezil,13.99,gut,397.81363708,413.6185
Donepezil,14.231,blood,0.92090403,1.0
Donepezil,14.231,lung,113.47145665,151.5305
Donepezil,14.231,liver,871.43501845,1129.0157
Donepezil,14.231,kidney,41.14718368,55.5137
Donepezil,14.231,muscle,20.61099208,20.3376
Donepezil,14.231,fat,30.32864483,171080.2988
Donepezil,14.231,brain,800.1362478,3081.7684
Donepezil,14.231,gut,392.51592359,413.6185
Donepezil,14.472,blood,0.91525346,1.0
Donepezil,14.472,lung,112.73324464,151.5305
Donepezil,14.472,liver,871.00478907,1129.0157
Donepezil,14.472,kidney,40.88918443,55.5137
Donepezil,14.472,muscle,20.50386239,20.3376
Donepezil,14.472,fat,30.51919225,171080.2988
Donepezil,14.472,brain,803.7571773,3081.7684
Donepezil,14.472,gut,387.41376345,413.6185
Donepezil,14.714,blood,0.90975709,1.0
Donepezil,14.714,lung,112.01625532,151.5305
Donepezil,14.714,liver,870.52766866,1129.0157
Donepezil,14.714,kidney,40.63841527,55.5137
Donepezil,14.714,muscle,20.39704363,20.3376
Donepezil,14.714,fat,30.70858251,171080.2988
Donepezil,14.714,brain,807.3351501,3081.7684
Donepezil,14.714,gut,382.49894788,413.6185
Donepezil,14.955,blood,0.90441334,1.0
Donepezil,14.955,lung,111.31956888,151.5305
Donepezil,14.955,liver,870.00553956,1129.0157
Donepezil,14.955,kidney,40.3945659,55.5137
Donepezil,14.955,muscle,20.29057681,20.3376
Donepezil,14.955,fat,30.89684729,171080.2988
Donepezil,14.955,brain,810.87120385,3081.7684
Donepezil,14.955,gut,377.7636093,413.6185
Donepezil,15.196,blood,0.89921006,1.0
Donepezil,15.196,lung,110.6423391,151.5305
Donepezil,15.196,liver,869.44021147,1129.0157
Donepezil,15.196,kidney,40.15736335,55.5137
Donepezil,15.196,muscle,20.1845004,20.3376
Donepezil,15.196,fat,31.08401709,171080.2988
Donepezil,15.196,brain,814.36633816,3081.7684
Donepezil,15.196,gut,373.20022202,413.6185
Donepezil,15.437,blood,0.89414723,1.0
Donepezil,15.437,lung,109.98374244,151.5305
Donepezil,15.437,liver,868.83341658,1129.0157
Donepezil,15.437,kidney,39.92652575,55.5137
Donepezil,15.437,muscle,20.07885017,20.3376
Donepezil,15.437,fat,31.27012106,171080.2988
Donepezil,15.437,brain,817.821511,3081.7684
Donepezil,15.437,gut,368.80157088,413.6185
Donepezil,15.678,blood,0.88921491,1.0
Donepezil,15.678,lung,109.34301924,151.5305
Donepezil,15.678,liver,868.1868213,1129.0157
Donepezil,15.678,kidney,39.70180494,55.5137
Donepezil,15.678,muscle,19.97365958,20.3376
Donepezil,15.678,fat,31.45518728,171080.2988
Donepezil,15.678,brain,821.23764607,3081.7684
Donepezil,15.678,gut,364.56075605,413.6185
Donepezil,15.92,blood,0.88440955,1.0
Donepezil,15.92,lung,108.71943699,151.5305
Donepezil,15.92,liver,867.50202331,1129.0157
Donepezil,15.92,kidney,39.48295316,55.5137
Donepezil,15.92,muscle,19.86895978,20.3376
Donepezil,15.92,fat,31.63924264,171080.2988
Donepezil,15.92,brain,824.61563046,3081.7684
Donepezil,15.92,gut,360.47116748,413.6185
Donepezil,16.161,blood,0.87972941,1.0
Donepezil,16.161,lung,108.11229667,151.5305
Donepezil,16.161,liver,866.78055635,1129.0157
Donepezil,16.161,kidney,39.26973128,55.5137
Donepezil,16.161,muscle,19.76477969,20.3376
Donepezil,16.161,fat,31.82231297,171080.2988
